query,response,intent,domain
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,smallTalks,conversation
that is true. the weather is constantly changing.,it would be nice if the weather would never change.,smallTalks,conversation
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",smallTalks,conversation
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,smallTalks,conversation
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,smallTalks,conversation
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,smallTalks,conversation
the weather this weekend is supposed to be warm.,will it be good beach weather?,smallTalks,conversation
will it be good beach weather?,i think it will be.,smallTalks,conversation
i think it will be.,it wouldn't be good if it got cold this weekend.,smallTalks,conversation
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",smallTalks,conversation
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.",smallTalks,conversation
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,smallTalks,conversation
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,smallTalks,conversation
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,smallTalks,conversation
"hello, may i speak to alice please?",this is she. how's it going?,smallTalks,conversation
this is she. how's it going?,i've been trying to call you all day.,smallTalks,conversation
i've been trying to call you all day.,sorry about that. i was cleaning up.,smallTalks,conversation
sorry about that. i was cleaning up.,it's okay.,smallTalks,conversation
it's okay.,so what were you calling me about?,smallTalks,conversation
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",smallTalks,conversation
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",smallTalks,conversation
"sure, what did you want to do?",maybe we can go see a movie or something.,smallTalks,conversation
maybe we can go see a movie or something.,that sounds like fun. let's do it.,smallTalks,conversation
that sounds like fun. let's do it.,i'll see you tomorrow then.,smallTalks,conversation
i'll see you tomorrow then.,see you then. goodbye.,smallTalks,conversation
"hi, how are you. is alice there?",speaking. what's up?,smallTalks,conversation
speaking. what's up?,why haven't you answered the phone?,smallTalks,conversation
why haven't you answered the phone?,"my bad, i had chores to do.",smallTalks,conversation
"my bad, i had chores to do.",that's all right.,smallTalks,conversation
that's all right.,what was the reason for your call?,smallTalks,conversation
what was the reason for your call?,i want to do something tomorrow with you.,smallTalks,conversation
i want to do something tomorrow with you.,sounds good. what did you have in mind?,smallTalks,conversation
sounds good. what did you have in mind?,i was thinking about seeing a movie.,smallTalks,conversation
i was thinking about seeing a movie.,"okay, let's go see a movie.",smallTalks,conversation
"okay, let's go see a movie.",until then.,smallTalks,conversation
until then.,talk to you later.,smallTalks,conversation
What is health?,"Health is a state of mental, physical, and social well-being. ",health inquiry,healthcare
Do our intestines contain germs?,"Yes, our intestines contain germs. Germs aren't all badin fact, some are helpful. For example, the common bacterium E. coli can be found in our intestines, and it helps us digest green vegetables and beans (also making gases). These same bacteria also make vitamin K, which causes blood to clot.",health inquiry,healthcare
What are allergies?,"An allergic reaction is a reaction to a substance that is typically harmless to most other people. Allergies happen when a persons immune system overreacts to a substance that the person has breathed in, touched, or eaten. ",health inquiry,healthcare
What are antibiotics?,"Antibiotics are medicines that help the human body fight bacteria, either by killing the offending germs directly or by weakening them so that the bodys own immune system can fight and kill them more easily.",health inquiry,healthcare
What can help improve my health?," Eating healthier, exercising, and reducing stress can all help improve your health. ",health inquiry,healthcare
What is the role of the immune system?,The immune system helps fight infections and disease. ,health inquiry,healthcare
What services do you offer?,"We provide a wide range of healthcare services, including primary care, specialist consultations, diagnostic testing, preventive care, telemedicine, mental health services, and wellness programs.",site inquiry,healthcare
Do you accept my insurance?,"We accept most major insurance plans. To confirm whether your specific plan is covered, please visit our ""Insurance"" page or contact our billing department at [phone number] with your insurance details.",insurance inquiry,healthcare
What are your office hours?,Our office is open Monday through Friday from 8:00 AM to 5:00 PM. Some locations may offer extended hours or weekend appointments. Please check the specific location's page for details.,openning time ,healthcare
 Can I see a doctor online?," Yes, we offer telemedicine services for virtual consultations. You can schedule a telehealth appointment through our patient portal or by calling our office.",online consultation,healthcare
How long will my appointment take?,"Appointment durations vary depending on the type of visit. A routine check-up typically takes 30-45 minutes, while specialized consultations or procedures may require more time. Your confirmation email will include an estimated duration.",openning time ,healthcare
Do you offer same-day appointments?,"Yes, we offer same-day appointments for urgent care needs. Availability may vary, so its best to call early in the day to secure a slot.",health inquiry,healthcare
 What if I need emergency care?,"If you are experiencing a medical emergency, please call 911 or visit the nearest emergency room immediately. For non-emergency urgent care, you can contact us during business hours.",health inquiry,healthcare
Are your doctors board-certified done mbbs?," Yes, all of our physicians are board-certified have done mbbs in their respective specialties and committed to providing high-quality care.",health inquiry,healthcare
How do I access my medical records ?,"You can access your medical records securely through our patient portal. If youre a new user, youll need to register for an account using the link provided on our website.",health inquiry,healthcare
How do I access my medical reports?,"You can access your medical reports securely through our patient portal. If youre a new user, youll need to register for an account using the link provided on our website.",health inquiry,healthcare
What is your cancellation policy?,"We require at least 24 hours' notice for cancellations or rescheduling. Failure to do so may result in a fee, depending on your insurance policy.",health inquiry,healthcare
Do you offer pediatric care?,"Yes, we have pediatricians on staff who specialize in caring for infants, children, and adolescents. Visit our ""Pediatrics"" page for more information.",health inquiry,healthcare
What preventive care services do you provide?,"We offer a variety of preventive services, including vaccinations, cancer screenings, annual physicals, blood pressure checks, cholesterol tests, and wellness counseling.",health inquiry,healthcare
How do I refill a prescription?, You can request prescription refills through our patient portal or by contacting your pharmacy directly. Allow 24-48 hours for processing.,health inquiry,healthcare
Are you HIPAA-compliant?,"Yes, we strictly adhere to HIPAA regulations to ensure the privacy and security of your personal health information.",health inquiry,healthcare
 Do you offer mental health services?,"Yes, we provide mental health services, including therapy, counseling, and psychiatric evaluations. Visit our ""Mental Health"" page to learn more.",health inquiry,healthcare
 What payment methods do you accept?,"We accept cash, credit/debit cards (Visa, MasterCard, American Express), and flexible spending accounts (FSAs). Payment plans may be available for certain services.",health inquiry,healthcare
How do I get test results?,"Test results are typically available through our patient portal within 3-5 business days. If you have not received your results, please contact our office for assistance.",health inquiry,healthcare
Where are your locations?,"We have multiple locations across mumbai. Visit our ""Locations"" page to find the office nearest to you, including maps and directions.",health inquiry,healthcare
 What are the symptoms of diabetes?,"Common symptoms of diabetes include frequent urination, excessive thirst, unexplained weight loss, fatigue, blurred vision, slow-healing wounds, and tingling or numbness in the hands or feet. If you experience these symptoms, consult a healthcare provider for testing.",health inquiry,healthcare
How can I lower my cholesterol naturally?,"You can lower cholesterol by eating a heart-healthy diet (rich in fruits, vegetables, whole grains, and healthy fats), exercising regularly, maintaining a healthy weight, quitting smoking, and reducing alcohol consumption.",health inquiry,healthcare
What causes high blood pressure?," High blood pressure (hypertension) can be caused by factors such as poor diet (high salt intake), lack of physical activity, obesity, stress, smoking, excessive alcohol consumption, and genetics. Managing these factors can help reduce blood pressure.",health inquiry,healthcare
How do I know if I have sleep apnea?,"Symptoms of sleep apnea include loud snoring, gasping for air during sleep, waking up with a dry mouth, morning headaches, daytime fatigue, and difficulty concentrating. A sleep study is required for an accurate diagnosis.",health inquiry,healthcare
What are the benefits of regular exercise?,"Regular exercise improves cardiovascular health, strengthens muscles and bones, boosts mood, enhances energy levels, aids in weight management, and reduces the risk of chronic diseases like diabetes and hypertension.",health inquiry,healthcare
How much water should I drink daily?,"The general recommendation is to drink about 8 cups (64 ounces) of water per day, but individual needs vary based on factors like age, activity level, climate, and overall health. Listen to your bodys thirst cues.",health inquiry,healthcare
 What are the signs of a heart attack?,"Signs of a heart attack include chest pain or discomfort, shortness of breath, pain radiating to the arms, neck, jaw, or back, nausea, lightheadedness, and cold sweats. Seek emergency care immediately if you suspect a heart attack.",health inquiry,healthcare
How can I improve my mental health?,"To improve mental health, practice self-care (e.g., regular exercise, healthy eating, adequate sleep), stay connected with loved ones, manage stress through mindfulness or meditation, and seek professional help if needed.",health inquiry,healthcare
What foods should I avoid for better heart health?,"Avoid foods high in saturated fats, trans fats, sodium, and added sugars, such as fried foods, processed snacks, sugary drinks, and red meat. Opt for heart-healthy options like fruits, vegetables, lean proteins, and whole grains.",health inquiry,healthcare
 What is the difference between a cold and the flu?,"A cold typically causes mild symptoms like a runny nose, sneezing, and a sore throat, while the flu often includes more severe symptoms like fever, body aches, fatigue, and chills. The flu can also lead to complications like pneumonia.",health inquiry,healthcare
How can I prevent the flu?,"Get an annual flu vaccine, wash your hands frequently, avoid close contact with sick individuals, cover your mouth and nose when coughing or sneezing, and maintain a healthy immune system through proper nutrition and rest.",health inquiry,healthcare
What are the early signs of pregnancy?,"Early signs of pregnancy include missed periods, nausea or vomiting (morning sickness), breast tenderness, fatigue, frequent urination, food cravings or aversions, and mood swings. A home pregnancy test can confirm pregnancy.",health inquiry,healthcare
How can I manage stress effectively?,"Manage stress by practicing relaxation techniques (e.g., deep breathing, yoga, meditation), staying physically active, setting realistic goals, prioritizing tasks, and seeking support from friends, family, or a therapist.",health inquiry,healthcare
" What causes allergies, and how can I treat them?","Allergies are caused by an overreaction of the immune system to substances like pollen, dust, pet dander, or certain foods. Treatments include avoiding allergens, taking antihistamines, using nasal sprays, and, in severe cases, receiving allergy shots.",health inquiry,healthcare
How can I boost my immune system?,"Boost your immune system by eating a balanced diet rich in vitamins and minerals, getting enough sleep, exercising regularly, managing stress, staying hydrated, and avoiding smoking and excessive alcohol consumption.",health inquiry,healthcare
 What are the warning signs of a stroke?,"Use the acronym FAST : Face drooping, Arm weakness, Speech difficulty, and Time to call 911. Other signs include sudden confusion, trouble seeing, dizziness, and severe headache. Immediate medical attention is critical.",health inquiry,healthcare
How can I prevent osteoporosis?,"revent osteoporosis by consuming calcium-rich foods (e.g., dairy, leafy greens), getting enough vitamin D, engaging in weight-bearing exercises, avoiding smoking, and limiting alcohol intake.",health inquiry,healthcare
What are the symptoms of depression?,"Symptoms of depression include persistent sadness, loss of interest in activities, fatigue, changes in appetite or weight, difficulty concentrating, feelings of worthlessness, and thoughts of self-harm or suicide. Seek professional help if you experience these symptoms.",health inquiry,healthcare
How can I maintain a healthy weight?,"Maintain a healthy weight by balancing calorie intake with physical activity, eating nutrient-dense foods, avoiding processed foods, staying hydrated, and getting adequate sleep. Consult a healthcare provider for personalized advice.",health inquiry,healthcare
"What are the risks of smoking, and how can I quit?","Smoking increases the risk of lung cancer, heart disease, stroke, respiratory issues, and other health problems. To quit, consider nicotine replacement therapy, counseling, support groups, and medications. Speak with your doctor for a tailored plan.",health inquiry,healthcare
What types of accounts do you offer?,"We offer a variety of accounts, including checking accounts, savings accounts, money market accounts, certificates of deposit (CDs), and individual retirement accounts (IRAs). Visit our ""Accounts"" page for more details.",finance inquiry,finance
"Tell us more about Checking Accounts , Explain it in detail","Checking accounts are ideal for everyday transactions. With our checking accounts, you can easily manage your finances with features such as online banking, mobile check deposits, and no monthly maintenance fees. Enjoy unlimited access to your funds through a network of ATMs and seamless integration with digital payment platforms. It's the perfect account for handling your daily expenses.",finance inquiry,finance
What is Checking Accounts,"A checking account is a bank account where you can make cash withdrawals or deposits. Account owners can use a check register to keep a running balance of their available checking account funds. You can also use a checking account for electronic transfers or purchases, either online or in person.",finance inquiry,finance
"Explain Saving Accounts ,  tell us more about it in detail","Our savings accounts offer competitive interest rates to help you grow your money while keeping it secure. You can start with a low minimum balance and enjoy the benefits of compound interest. With flexible access to your funds, you can set up automatic transfers from your checking account to ensure you consistently save for your future goals. Achieve financial stability with ease.",finance inquiry,finance
What is Saving Accounts,A savings account is an interest-bearing deposit account held at a bank or other financial institution.,finance inquiry,finance
"Explain Money Market Accounts ,  tell us more about it in detail ",A money market account combines the benefits of a savings account with higher interest rates and limited check-writing capabilities. It's a great option for those who want to earn more on their savings while still having easy access to their funds. Enjoy higher returns with the peace of mind that your money is safe and accessible when you need it.,finance inquiry,finance
What is money market account,Money market accounts are offered by banks and credit unions and provide the benefits and features of both savings and checking accounts. They generally pay higher interest rates than regular savings accounts and may come with debit cards and limited check-writing privileges.,finance inquiry,finance
"Explain Certificates of Deposit (CDs) ,  tell us more about it in detail  ","Certificates of Deposit offer a fixed interest rate for a specified term, making them an excellent choice for those looking to grow their savings over a set period. With our CDs, you can choose from various terms to match your financial goals, from short-term to long-term investments. You'll benefit from higher interest rates compared to regular savings accounts, providing a predictable and secure way to earn more on your money.",finance inquiry,finance
What is Certificates of Deposit (CDs),"A certificate of deposit (CD) is a type of savings account that pays a fixed interest rate on money held for an agreed-upon period of time. The best CD rates are usually higher than savings accounts, but you lose withdrawal flexibility. If you withdraw your CD funds early, you'll be charged a penalty.",finance inquiry,finance
"What are some different types of accounts you have? I mean checking account , saving account , current account ? What do you have ? ",Please contact our landline number 8900434 for more details. Thanks,finance inquiry,finance
"Explain Individual Retirement Accounts (IRAs) ,  tell us more about it in detail  ","Our Individual Retirement Accounts are designed to help you plan for a secure and comfortable retirement. With options like Traditional IRAs and Roth IRAs, you can choose the tax advantages that best suit your needs.",finance inquiry,finance
What is  Individual Retirement Accounts (IRAs),"An individual retirement account (IRA)known as an individual retirement arrangement by the IRSis a long-term, tax-advantaged savings account that individuals with earned income can use to save for the future. ",finance inquiry,finance
How do I open a bank account online?,"You can open an account online by visiting our ""Open an Account"" page. Youll need to provide personal information (e.g., ID, Aadhar Card) and make an initial deposit if required.",finance inquiry,finance
What are the fees associated with my account?,"Fees vary depending on the account type. Common fees include monthly maintenance fees, overdraft fees, ATM fees, and wire transfer fees. Review our fee schedule or contact customer service for specifics.",finance inquiry,finance
How to know How much money is in my account?,"You can check your balance through our mobile app, online banking portal, or by calling our customer service line. You can also visit a branch or use an ATM.",finance inquiry,finance
 How can I check my account balance?,"You can check your balance through our mobile app, online banking portal, or by calling our customer service line. You can also visit a branch or use an ATM.",finance inquiry,finance
What is the limitation on my saving account ? ," Savings accounts may require a 10,000 rupees minimum. Check your account terms or contact us for details.",finance inquiry,finance
Minimum balance requirement for my saving account? ,"Minimum balance requirements depend on the account type. For example, some checking accounts have no minimum balance, while savings accounts may require a 10,000 rupees minimum. Check your account terms or contact us for details.",finance inquiry,finance
What is the minimum balance requirement for my account?,"Minimum balance requirements depend on the account type. For example, some checking accounts have no minimum balance, while savings accounts may require a 10,000 rupees minimum. Check your account terms or contact us for details.",finance inquiry,finance
How do I apply for a loan?,"ou can apply for a loan online through our secure application portal or by visiting a branch. Youll need to provide income verification, credit history, and other financial details.",finance inquiry,finance
What types of loans do you offer?,"We offer personal loans, auto loans, home mortgages, student loans, business loans, and lines of credit. Each loan type has specific terms and eligibility requirements.",finance inquiry,finance
"What is my credit score, and how can I improve it?","Your credit score is a numerical representation of your creditworthiness, ranging from 300 to 900. To improve it, pay bills on time, reduce debt, avoid opening too many new accounts, and check your credit report for errors.",finance inquiry,finance
How do I dispute a charge on my account?,"To dispute a charge, log into your online banking account and submit a dispute form, or call our customer service team. Provide documentation (e.g., receipts) to support your claim.",finance inquiry,finance
How do I complain about a charge on my account?,"To complaon about a charge, log into your online banking account and submit a dispute form, or call our customer service team. Provide documentation (e.g., receipts) to support your claim.",finance inquiry,finance
What are the benefits of using a credit card?,"Benefits include building credit history, earning rewards (e.g., cashback, points), fraud protection, convenience, and access to exclusive offers. However, responsible usage is key to avoiding debt.",finance inquiry,finance
 How do I reset my online banking password?,"To reset your password, click the ""Forgot Password"" link on the login page. Follow the prompts to verify your identity and create a new password.",finance inquiry,finance
I forget my banking password?,"To reset your password, click the ""Forgot Password"" link on the login page. Follow the prompts to verify your identity and create a new password.",finance inquiry,finance
What is the difference between a debit card and a credit card?," A debit card deducts funds directly from your bank account, while a credit card allows you to borrow money up to a set limit and repay it later with interest if not paid in full.",finance inquiry,finance
 How do I set up automatic bill payments?,"Log into your online banking account, navigate to ""Bill Pay,"" and select the option to set up recurring payments. Enter the payee details and payment schedule.",finance inquiry,finance
"What is a CD (certificate of deposit), and how does it work?","A certificate of deposit (CD) is a savings account with a fixed interest rate and term. You deposit money for a set period (e.g., 6 months, 1 year) and earn interest, but early withdrawals may incur penalties.",finance inquiry,finance
How can I start investing?,"Start by setting financial goals, researching investment options (e.g., stocks, bonds, mutual funds), and opening an investment account. Consider consulting a financial advisor for personalized guidance.",finance inquiry,finance
How do I avoid overdraft fees?,"Monitor your account balance regularly, set up low-balance alerts, link your account to a savings account or line of credit for overdraft protection, and opt out of overdraft coverage for certain transactions.",finance inquiry,finance
How do I protect my account from fraud?,"Protect your account by using strong passwords, enabling multi-factor authentication, monitoring transactions regularly, avoiding phishing scams, and reporting suspicious activity immediately.",finance inquiry,finance
What should I do if I lose my debit or credit card?,Report the loss immediately by calling our customer service line or using the mobile app. Well deactivate the card and issue a replacement. Monitor your account for unauthorized transactions.,finance inquiry,finance
How do I know my online banking is secure?," Our online banking platform uses advanced encryption (e.g., SSL/TLS), multi-factor authentication (MFA), and secure servers to protect your data. Look for the padlock icon in your browser's address bar to confirm a secure connection.",finance inquiry,finance
What should I do if I suspect fraudulent activity on my account?,Immediately contact our customer service team via phone or through the secure messaging system in your online account. Freeze your account temporarily and review recent transactions for unauthorized charges.,finance inquiry,finance
 How can I create a strong password for my account?,"Use a mix of uppercase and lowercase letters, numbers, and special characters. Avoid using easily guessed information like birthdays or common words. Consider using a password manager to generate and store complex passwords.",finance inquiry,finance
"What is multi-factor authentication (MFA), and why is it important?","MFA adds an extra layer of security by requiring two or more verification methods (e.g., password + SMS code) to access your account. It significantly reduces the risk of unauthorized access, even if your password is compromised.",finance inquiry,finance
 How do I protect myself from phishing scams?,"Be cautious of emails, texts, or calls asking for personal information. Verify the senders identity, avoid clicking suspicious links, and never provide sensitive details unless you initiated the contact.",finance inquiry,finance
What should I do if I receive a suspicious email claiming to be from your bank?,Do not click any links or provide personal information. Forward the email to our fraud department at [fraud@bank.com ] and delete it immediately. Legitimate banks will never ask for sensitive details via email.,finance inquiry,finance
 Is it safe to use public Wi-Fi for online banking?,"No, public Wi-Fi networks are often unsecured and vulnerable to hackers. Use a virtual private network (VPN) or wait until youre on a secure, private network to access your account.",finance inquiry,finance
How can I monitor my account for suspicious activity?,"Enable transaction alerts, regularly review your account statements, and use our mobile app to track real-time activity. Report anything unusual to us immediately.",finance inquiry,finance
What happens if my credit card information is stolen?,"Notify us immediately so we can deactivate the card and issue a replacement. Well also investigate any fraudulent charges and help you recover lost funds, provided you report the theft promptly.",finance inquiry,finance
